project_id,project_name,list_type,unique_videos,likely_relevant,needs_review,low_relevance,likely_ratio,needs_review_ratio,low_relevance_ratio,avg_quality_score,negative_hit_videos,negative_hit_ratio,weak_generic_source_videos,weak_generic_source_ratio,total_play_likely,total_play_needs_review,total_play_low_relevance,max_play_likely,max_play_needs_review,max_play_low_relevance,top_quality_reasons,top_negative_terms
24,宣纸传统制作技艺,RL,695,253,157,285,0.364,0.2259,0.4101,2.158,0,0.0,173,0.2489,282772611,439072284,340113898,28200000,53000000,38000000,"{""china_context"": 142, ""cjk_desc"": 134, ""core_term_hits:1"": 336, ""core_term_hits:2"": 33, ""generic_source_only"": 168, ""project_term_hits:1"": 336, ""project_term_hits:2"": 33, ""source_hit"": 372}",{}
25,粤剧,RL,457,113,95,249,0.2473,0.2079,0.5449,2.063,14,0.0306,0,0.0,13055989,108678235,173791793,5200000,57700000,27700000,"{""china_context"": 293, ""cjk_desc"": 246, ""core_term_hits:1"": 102, ""core_term_hits:2"": 11, ""empty_desc"": 15, ""project_term_hits:1"": 102, ""project_term_hits:2"": 11, ""source_hit"": 111}","{""yueju"": 1, ""yueopera"": 10, ""浙江"": 4, ""越剧"": 5}"
26,格萨(斯)尔史诗传统,RL,657,79,178,400,0.1202,0.2709,0.6088,1.186,0,0.0,153,0.2329,3511908,490718650,168782721,646800,48000000,12300000,"{""china_context"": 58, ""cjk_desc"": 204, ""core_term_hits:1"": 204, ""empty_desc"": 64, ""generic_source_only"": 153, ""project_term_hits:1"": 200, ""project_term_hits:2"": 19, ""source_hit"": 223}",{}
27,龙泉青瓷传统烧制技艺,RL,636,282,53,301,0.4434,0.0833,0.4733,2.645,0,0.0,0,0.0,168495917,25945151,198185251,46100000,4800000,32100000,"{""china_context"": 176, ""cjk_desc"": 198, ""core_term_hits:1"": 199, ""core_term_hits:2"": 92, ""empty_desc"": 20, ""project_term_hits:1"": 199, ""project_term_hits:2"": 92, ""source_hit"": 279}",{}
28,热贡艺术,RL,703,236,41,426,0.3357,0.0583,0.606,1.96,0,0.0,0,0.0,6899451,5689062,361174656,1800000,1500000,119400000,"{""china_context"": 130, ""cjk_desc"": 269, ""core_term_hits:1"": 214, ""core_term_hits:2"": 21, ""empty_desc"": 20, ""project_term_hits:1"": 214, ""project_term_hits:2"": 21, ""source_hit"": 237}",{}
29,藏戏,RL,651,162,96,393,0.2488,0.1475,0.6037,1.717,0,0.0,0,0.0,3523970,79455751,343326167,906900,28200000,29500000,"{""china_context"": 240, ""cjk_desc"": 157, ""core_term_hits:1"": 199, ""core_term_hits:2"": 5, ""empty_desc"": 45, ""project_term_hits:1"": 199, ""project_term_hits:2"": 5, ""source_hit"": 189}",{}
30,玛纳斯,RL,425,89,82,254,0.2094,0.1929,0.5976,1.264,0,0.0,89,0.2094,101345094,20514757,299810868,24700000,4900000,27500000,"{""china_context"": 25, ""cjk_desc"": 102, ""core_term_hits:1"": 148, ""empty_desc"": 21, ""generic_source_only"": 87, ""project_term_hits:1"": 148, ""project_term_hits:2"": 7, ""source_hit"": 151}",{}
31,蒙古族呼麦,RL,668,163,134,371,0.244,0.2006,0.5554,1.669,198,0.2964,0,0.0,257066425,400308919,385066045,28800000,81000000,48400000,"{""china_context"": 82, ""cjk_desc"": 124, ""core_term_hits:1"": 160, ""negative_term_hits:1"": 130, ""project_term_hits:1"": 149, ""project_term_hits:3"": 92, ""project_term_hits:4"": 45, ""source_hit"": 297}","{""alash"": 1, ""huunhuurtu"": 2, ""mongolia"": 161, ""mongoliansinger"": 1, ""tuva"": 71, ""tuvan"": 52, ""ulaanbaatar"": 9}"
32,花儿,RL,462,56,35,371,0.1212,0.0758,0.803,0.857,0,0.0,0,0.0,381267,22158643,303598788,243200,11000000,20700000,"{""china_context"": 102, ""cjk_desc"": 133, ""core_term_hits:1"": 58, ""empty_desc"": 35, ""project_term_hits:1"": 58, ""source_hit"": 58, ""zero_play"": 1}",{}
33,中国朝鲜族农乐舞,RL,679,88,62,529,0.1296,0.0913,0.7791,0.931,0,0.0,0,0.0,6060528,11488278,297179629,2100000,2900000,64800000,"{""china_context"": 112, ""cjk_desc"": 210, ""core_term_hits:1"": 89, ""core_term_hits:2"": 2, ""empty_desc"": 26, ""project_term_hits:1"": 89, ""project_term_hits:2"": 2, ""source_hit"": 88}",{}
