sample_id,project_id,project_name,no_china_signal_unique_ratio,no_china_signal_play_ratio_rowlabel,video_id,url,play_count,source_term,author_handle,caption,hashtags,hashtags_text,quality_label,quality_score,quality_reasons,china_context_hit,china_context_terms,has_cjk_desc,manual_label_relevant_irrelevant_uncertain,manual_false_negative_if_relevant,manual_notes
CS-31-06,31,蒙古族呼麦,0.5802,0.6227,7611015505796730125,https://www.tiktok.com/@erklen/video/7611015505796730125,3100000,khoomei,erklen,throat singing chicken new #throatsinging #khoomei #mongolia #mongolianthroatsinging #erklen,"[""throatsinging"", ""khoomei"", ""mongolia"", ""mongolianthroatsinging"", ""erklen""]","[""throatsinging"", ""khoomei"", ""mongolia"", ""mongolianthroatsinging"", ""erklen""]",likely_relevant,5,"[""source_hit"", ""project_term_hits:4"", ""core_term_hits:1"", ""negative_term_hits:1""]",False,[],False,,,
CS-31-07,31,蒙古族呼麦,0.5802,0.6227,7345077880134716704,https://www.tiktok.com/@ancestraltones/video/7345077880134716704,2900000,khoomei,ancestraltones,Batzorig Vaanchig performing Mongol khoomei (throat singing)  - - #worlmusic #folkmusic #traditionalmusic #mongol #mongolianmusic #throatsinging #mongolianthroatsinging ,"[""worlmusic"", ""folkmusic"", ""traditionalmusic"", ""mongol"", ""mongolianmusic"", ""throatsinging"", ""mongolianthroatsinging""]","[""worlmusic"", ""folkmusic"", ""traditionalmusic"", ""mongol"", ""mongolianmusic"", ""throatsinging"", ""mongolianthroatsinging""]",likely_relevant,5,"[""source_hit"", ""project_term_hits:4"", ""core_term_hits:1"", ""negative_term_hits:1""]",False,[],False,,,
CS-31-08,31,蒙古族呼麦,0.5802,0.6227,7588146930287496460,https://www.tiktok.com/@khoomeikuka/video/7588146930287496460,1800000,khoomei,khoomeikuka,Singing #throatsinging #kargyraa  #khoomei #overtonesinging #music ,"[""throatsinging"", ""kargyraa"", ""khoomei"", ""overtonesinging"", ""music""]","[""throatsinging"", ""kargyraa"", ""khoomei"", ""overtonesinging"", ""music""]",likely_relevant,6,"[""source_hit"", ""project_term_hits:3"", ""core_term_hits:1""]",False,[],False,,,
CS-31-09,31,蒙古族呼麦,0.5802,0.6227,7524657185624722743,https://www.tiktok.com/@erklen/video/7524657185624722743,1700000,khoomei,erklen,throat singing bird  #throatsinging #throatsing #throatrap #kargyraa #morinkhuur #jawharp #mongolian #tovshuur #khoomei #hoomii #overtonesinging #viralmusic #berklee #erklen #meme #flappybird ,"[""throatsinging"", ""throatsing"", ""throatrap"", ""kargyraa"", ""morinkhuur"", ""jawharp"", ""mongolian"", ""tovshuur"", ""khoomei"", ""hoomii"", ""overtonesinging"", ""viralmusic"", ""berklee"", ""erklen"", ""meme"", ""flappybird""]","[""throatsinging"", ""throatsing"", ""throatrap"", ""kargyraa"", ""morinkhuur"", ""jawharp"", ""mongolian"", ""tovshuur"", ""khoomei"", ""hoomii"", ""overtonesinging"", ""viralmusic"", ""berklee"", ""erklen"", ""meme"", ""flappybird""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:3"", ""core_term_hits:1"", ""negative_term_hits:1""]",False,[],False,,,
CS-31-10,31,蒙古族呼麦,0.5802,0.6227,7524284748135402807,https://www.tiktok.com/@erklen/video/7524284748135402807,1500000,khoomei,erklen,throat singing minecraft  #throatsinging #throatsing #throatrap #kargyraa #morinkhuur #jawharp #mongolian #tovshuur #mongolianinstrument #khoomei #hoomii #overtonesinging #viralmusic #berklee #erklen #minecraft #minecraftmemes ,"[""throatsinging"", ""throatsing"", ""throatrap"", ""kargyraa"", ""morinkhuur"", ""jawharp"", ""mongolian"", ""tovshuur"", ""mongolianinstrument"", ""khoomei"", ""hoomii"", ""overtonesinging"", ""viralmusic"", ""berklee"", ""erklen"", ""Minecraft"", ""minecraftmemes""]","[""throatsinging"", ""throatsing"", ""throatrap"", ""kargyraa"", ""morinkhuur"", ""jawharp"", ""mongolian"", ""tovshuur"", ""mongolianinstrument"", ""khoomei"", ""hoomii"", ""overtonesinging"", ""viralmusic"", ""berklee"", ""erklen"", ""minecraft"", ""minecraftmemes""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:3"", ""core_term_hits:1"", ""negative_term_hits:1""]",False,[],False,,,
CS-15-01,15,中医针灸,0.5534,0.6613,7416634811328007456,https://www.tiktok.com/@geotherapy/video/7416634811328007456,15800000,acupuncture,geotherapy,His knots were so big i has to needle them out! #massage #physio #dryneedling #acupuncture #traps,"[""massage"", ""physio"", ""dryneedling"", ""acupuncture"", ""traps""]","[""massage"", ""physio"", ""dryneedling"", ""acupuncture"", ""traps""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1"", ""manual_override:likely_relevant->likely_relevant""]",False,[],False,,,
CS-15-02,15,中医针灸,0.5534,0.6613,6797412575232412933,https://www.tiktok.com/@carolinafamilyacu/video/6797412575232412933,13600000,acupuncture,carolinafamilyacu,"Acu point for nausea, take 2!  #BeatTheZombieFunk #foryou #acupuncture #selfcare #tictokdoctor #nausea","[""BeatTheZombieFunk"", ""foryou"", ""acupuncture"", ""SelfCare"", ""tictokdoctor"", ""nausea""]","[""BeatTheZombieFunk"", ""foryou"", ""acupuncture"", ""selfcare"", ""tictokdoctor"", ""nausea""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-15-03,15,中医针灸,0.5534,0.6613,7385294079824760106,https://www.tiktok.com/@emmasmyspaceasmr/video/7385294079824760106,11100000,acupuncture,emmasmyspaceasmr,holy moly thanks for the acupuncture doll it makes great noises!! #asmr #asmrsounds #asmrtiktoks ,"[""asmr"", ""asmrsounds"", ""asmrtiktoks""]","[""asmr"", ""asmrsounds"", ""asmrtiktoks""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-15-04,15,中医针灸,0.5534,0.6613,6830834267166149894,https://www.tiktok.com/@carolinafamilyacu/video/6830834267166149894,10500000,acupuncture,carolinafamilyacu,"😊As requested, 2 great Acu points for fertility! #tiktokwellness #carolinafamilyacupuncture #theacudoc #fertility #infertilty #fertilitytreatment #","[""tiktokwellness"", ""carolinafamilyacupuncture"", ""theacudoc"", ""fertility"", ""infertilty"", ""fertilitytreatment""]","[""tiktokwellness"", ""carolinafamilyacupuncture"", ""theacudoc"", ""fertility"", ""infertilty"", ""fertilitytreatment""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
CS-15-05,15,中医针灸,0.5534,0.6613,7645408178166828302,https://www.tiktok.com/@_walkwithgrace_/video/7645408178166828302,9100000,acupuncture,_walkwithgrace_,"LET ME EXPLAIN-  I have been training all muscle groups in my legs but the problem was the difference in intensity and volume of my workouts. Over time my glute max became overdeveloped since I was able to lift so heavily doing hip thrusts, RDL’s and Bulgarians but i couldn’t lift as heavy doing abductors, kickbacks etc. which caused a big muscle imbalance within my lower body  So because of the over development of my glute max, it became the ONLY muscle in my glutes that got activated during my workouts which is bad because the glute medius was basically not doing anything during my workouts or during everyday activities like walking or standing, causing pain and tightness throughout my lower body.  So the acupuncture was to activate those muscles that weren’t doing their job so I can now properly train them and restore balance between my lower and upper body.  Long story short, even though my glutes look small the muscle itself is still overdeveloped compared to the rest of my small muscles 🥲  #muscleimbalance #gymtok #gymgirl #glutes #acupuncture ","[""muscleimbalance"", ""GymTok"", ""gymgirl"", ""glutes"", ""acupuncture""]","[""muscleimbalance"", ""gymtok"", ""gymgirl"", ""glutes"", ""acupuncture""]",likely_relevant,4,"[""source_hit"", ""project_term_hits:1"", ""core_term_hits:1""]",False,[],False,,,
