id,project_id,project,video_id,web_url,machine_quality_label,stats_play_count,title,channelTitle,source_term
13:1k-LbGMBFiw,13,中国木活字印刷术,1k-LbGMBFiw,https://www.youtube.com/watch?v=1k-LbGMBFiw,low_relevance,41,Seal Cutting/Heart Sutra,  Chinese Culture,Chinese wooden movable type
13:1kOmdSIpCm4,13,中国木活字印刷术,1kOmdSIpCm4,https://www.youtube.com/watch?v=1kOmdSIpCm4,likely_relevant,166570,Movable Typeset,Museum of the Bible,Chinese wooden movable type
13:1xmJH68SJc0,13,中国木活字印刷术,1xmJH68SJc0,https://www.youtube.com/watch?v=1xmJH68SJc0,likely_relevant,16,"Search with clay embryos, movable type printing #india #travel #trending",BB TOURS,Chinese wooden movable type
13:20Os4gaW1V8,13,中国木活字印刷术,20Os4gaW1V8,https://www.youtube.com/watch?v=20Os4gaW1V8,likely_relevant,13953,Dongyuan wooden movable-type printing,"Ruian, China",Chinese wooden movable type
13:29lfNH3Ky_8,13,中国木活字印刷术,29lfNH3Ky_8,https://www.youtube.com/watch?v=29lfNH3Ky_8,low_relevance,40362232,Wood Saw Machine Tool #Gadget #Gadgets 😉SUBSCRIBE PLEASE!👇👇👇 #shorts,Martoffes™,Chinese wooden movable type
13:2CXnIsQvhSs,13,中国木活字印刷术,2CXnIsQvhSs,https://www.youtube.com/watch?v=2CXnIsQvhSs,needs_review,97,Movable Type Truck Visits UALR,UALRTV,Chinese wooden movable type
13:2Ez7IbI-X68,13,中国木活字印刷术,2Ez7IbI-X68,https://www.youtube.com/watch?v=2Ez7IbI-X68,low_relevance,1181,1450'den 600 Yıl Geriye: Matbaanın Kaynağı #tarih #bilim,Murşit  ARSLAN,Chinese wooden movable type
13:2I9pM1Suwf0,13,中国木活字印刷术,2I9pM1Suwf0,https://www.youtube.com/watch?v=2I9pM1Suwf0,likely_relevant,3,"The 900-Year-Old ""Computer"" Printer 📜",BemEducates,Chinese wooden movable type
13:2KzDBmZNSaw,13,中国木活字印刷术,2KzDBmZNSaw,https://www.youtube.com/watch?v=2KzDBmZNSaw,likely_relevant,185,活字譜師 ｜他修煉近50年，刻的木活字比機器刻的還好看！Genealogy-printing master｜Chinese Characters Movable Woodblock printing,了不起频道 the Great Channel —  Chinese Documentary ,Chinese wooden movable type
13:2R-uDOel_QE,13,中国木活字印刷术,2R-uDOel_QE,https://www.youtube.com/watch?v=2R-uDOel_QE,needs_review,115,interactive movable type,Adam Kadrmas,Chinese wooden movable type
13:2YZGBiCIwP8,13,中国木活字印刷术,2YZGBiCIwP8,https://www.youtube.com/watch?v=2YZGBiCIwP8,likely_relevant,3593,From Clay to Classic Poetry: The Ancient Craft of Making Ceramic Movable Type #shorts,Max Logic,Chinese wooden movable type
13:2cxa2MJXXwg,13,中国木活字印刷术,2cxa2MJXXwg,https://www.youtube.com/watch?v=2cxa2MJXXwg,needs_review,474,The story of the movable type,SCMP Archive,Chinese wooden movable type
13:2lp3UdDkFWY,13,中国木活字印刷术,2lp3UdDkFWY,https://www.youtube.com/watch?v=2lp3UdDkFWY,needs_review,3257,The First Book Ever Printed - The Diamond Sutra,OmniVision,Chinese wooden movable type
13:2y-NnnT0GoQ,13,中国木活字印刷术,2y-NnnT0GoQ,https://www.youtube.com/watch?v=2y-NnnT0GoQ,needs_review,261,ROKR Printing Press Miniature Build ASMR 🖨️ | 303pcs Mechanical Puzzle | DIY miniature | Satisfying,Active Delay,Chinese wooden movable type
13:2ykxWLJzT6c,13,中国木活字印刷术,2ykxWLJzT6c,https://www.youtube.com/watch?v=2ykxWLJzT6c,likely_relevant,71,"Movable type printing - Song dynasty, inventor Bi Sheng",Engineering Marvels,Chinese wooden movable type
13:3-DDk1oU1AU,13,中国木活字印刷术,3-DDk1oU1AU,https://www.youtube.com/watch?v=3-DDk1oU1AU,likely_relevant,8890,"""The Ancient Chinese Printing craftsmanship Movable-type Printing""|history|art|word|culture|",Discover Zhejiang,Chinese wooden movable type
13:38oC__KA-F0,13,中国木活字印刷术,38oC__KA-F0,https://www.youtube.com/watch?v=38oC__KA-F0,likely_relevant,848,china CNC machine program #gsk #cncmachine #nc,"solutionofmachine8244, ",Chinese wooden movable type
13:3FSx30ZqRtk,13,中国木活字印刷术,3FSx30ZqRtk,https://www.youtube.com/watch?v=3FSx30ZqRtk,low_relevance,69,Xu Bing | A Book from the Sky,Kyle Wood,Chinese wooden movable type
13:3HKOEw167Zo,13,中国木活字印刷术,3HKOEw167Zo,https://www.youtube.com/watch?v=3HKOEw167Zo,low_relevance,1436485,Cement Stove making from Plastic Pot #shorts #diy #viral #youtubeshorts #cement #hacks #ideas,Deep's CRAFT,Chinese wooden movable type
13:3IopWg-WGx4,13,中国木活字印刷术,3IopWg-WGx4,https://www.youtube.com/watch?v=3IopWg-WGx4,likely_relevant,176,Li Ziqi Plans to Focus on Creating Content about Intangible Cultural Heritage | 李子柒回应何时回归,Beijing Business Today,Chinese wooden movable type
13:3UlwIVeLfwU,13,中国木活字印刷术,3UlwIVeLfwU,https://www.youtube.com/watch?v=3UlwIVeLfwU,likely_relevant,5,"Movable type printing,one of the four great inventions #chinese#foryou #movie #chineseculture ",NovaReel,Chinese wooden movable type
13:3dcTHJy5TRY,13,中国木活字印刷术,3dcTHJy5TRY,https://www.youtube.com/watch?v=3dcTHJy5TRY,likely_relevant,4,Movable type printing,Traditional Chinese production methods,Chinese wooden movable type
13:3mIUDh2__nU,13,中国木活字印刷术,3mIUDh2__nU,https://www.youtube.com/watch?v=3mIUDh2__nU,needs_review,428,"Before printers, before screens, there was this.",THE CHIWAY,Chinese wooden movable type
13:3vBRwqiE9E8,13,中国木活字印刷术,3vBRwqiE9E8,https://www.youtube.com/watch?v=3vBRwqiE9E8,needs_review,856,Taiwan's last printing press,Al Jazeera English,Chinese wooden movable type
13:4IHPfK7Ed_E,13,中国木活字印刷术,4IHPfK7Ed_E,https://www.youtube.com/watch?v=4IHPfK7Ed_E,low_relevance,26059418,School Bus #bus #car #woodcar,Awesome Woodcraft,Chinese wooden movable type
