video_url,project,reviewer,manual_relevance,manual_noise_type,content_language,audience_language,notes,play_count
https://www.tiktok.com/@juewuxiansheng/video/7549384380699970846,中国篆刻,B,不相关,主题无关,英文,英文为主,,27600000
https://www.tiktok.com/@hacuongtrienkhac/video/7357373245881961744,中国篆刻,B,不相关,蹭热门标签,其他,混合,,6500000
https://www.tiktok.com/@seal_sealion/video/7584755757833325879,中国篆刻,B,不相关,主题无关,,英文为主,,156700000
https://www.tiktok.com/@hudddjd/video/7539104450992950541,中国篆刻,B,不相关,主题无关,英文,英文为主,,54900000
https://www.tiktok.com/@luismiguello/video/7640419246429703446,中国篆刻,B,不相关,主题无关,英文,英文为主,,42100000
https://www.tiktok.com/@hudddjd/video/7577639681932709134,中国篆刻,B,不相关,主题无关,英文,英文为主,,42000000
https://www.tiktok.com/@explorechina786/video/7593623600540830996,中国篆刻,B,不相关,蹭热门标签,中文,英文为主,,41000000
https://www.tiktok.com/@opera_san_/video/7210829990177295621,昆曲,B,不相关,主题无关,英文,英文为主,,1700000
https://www.tiktok.com/@pandatalk_/video/7028537159342755074,昆曲,B,不相关,蹭热门标签,英文,几乎没评论,,1700000
https://www.tiktok.com/@vision_china/video/7615930167680044299,昆曲,B,不相关,蹭热门标签,中文,英文为主,,759100
https://www.tiktok.com/@ineloc.1/video/7398241664290082054,昆曲,B,不相关,蹭热门标签,英文,英文为主,,4500000
https://www.tiktok.com/@lilliancui0/video/7533816685275417887,昆曲,B,不相关,蹭热门标签,中文,英文为主,,1500000
https://www.tiktok.com/@flowertownhomestead/video/7457358727289572638,昆曲,B,不相关,蹭热门标签,英文,英文为主,,17200000
https://www.tiktok.com/@ku_13040/video/7630121231336885535,昆曲,B,不相关,蹭热门标签,其他,英文为主,,12700000
https://www.tiktok.com/@happylifeinnz/video/7632121485129207048,昆曲,B,不相关,蹭热门标签,英文,英文为主,,12000000
https://www.tiktok.com/@.kunno/video/7636095312326692117,昆曲,B,不相关,蹭热门标签,其他,混合,,9500000
https://www.tiktok.com/@pandatalk_/video/7017719800428285185,中国皮影戏,A,相关,,英文,混合,,3300000
https://www.tiktok.com/@user3081810966148/video/7563897776203910407,中国皮影戏,A,相关,,中文,混合,,2600000
https://www.tiktok.com/@chipotle_teatro/video/7145257021724544261,中国皮影戏,A,相关,,西班牙语,主要为西班牙语,,1300000
https://www.tiktok.com/@folkart.china/video/7559080211912969493,中国皮影戏,A,不相关,主题无关,中文,混合,是板胡演奏视频，完全不相关,12100000
https://www.tiktok.com/@yigerenyetinghaode/video/7646044803981004050,中国皮影戏,A,不相关,主题无关,中文,混合,是拍摄小猫视频，完全不相关,62900000
https://www.tiktok.com/@kissyd0lly/video/7363340399005420832,中国皮影戏,A,不相关,主题无关,英文,混合,是穿孔夸张孔视频，完全不相关,49500000
https://www.tiktok.com/@plzboomwo/video/7568431834766249247,中国皮影戏,A,不相关,主题无关,英文,以英文为主,是电影解说视频，完全不相关,45500000
https://www.tiktok.com/@harpermovies1/video/7616709033940094239,中国皮影戏,A,不相关,主题无关,英文,以英文为主,是电影解说视频，完全不相关,39100000
https://www.tiktok.com/@sastisfactory_/video/7337371717049879813,中国皮影戏,A,不相关,主题无关,英文,混合,在弄头皮，完全不相关,38200000
https://www.tiktok.com/@xiedapao88/video/7404039857405742344,中国木活字印刷术,A,相关,,中文,混合,,47700000
https://www.tiktok.com/@unesco/video/7426288193546259744,中国木活字印刷术,A,相关,,英文,混合,,32700000
https://www.tiktok.com/@xiaomijiao2/video/7487608886388706590,中国木活字印刷术,A,相关,,中文,混合,,12800000
https://www.tiktok.com/@3dtoylab.official/video/7600833198972488968,中国木活字印刷术,A,不相关,主题无关,英文,混合,介绍玩具，完全不相关,7500000
https://www.tiktok.com/@shoubkbr7m9/video/7461817575417122053,中国木活字印刷术,A,拿不准,同类,中文,混合,是木雕非遗，和木活字印刷术有关系也有区别,5400000
https://www.tiktok.com/@engineezy/video/7632096837394058516,中国木活字印刷术,A,不相关,主题无关,英文,以英文为主,介绍一个机器可以画出任何形状，完全不相关,90100000
https://www.tiktok.com/@ishalcncwoodart_official/video/7591831028256296195,中国木活字印刷术,A,不相关,,中文,混合,是CNC数控木雕机器，不相关,83300000
https://www.tiktok.com/@fitness.babes.my/video/7634633861628202263,中国木活字印刷术,A,不相关,主题无关,英文,混合,举重，完全不相关,57100000
https://www.tiktok.com/@explore.china6/video/7322759248818081055,中国木活字印刷术,A,相关,,英文,混合,,24400000
https://www.tiktok.com/@lapopitafit/video/7618304022067383574,中国木活字印刷术,A,不相关,主题无关,英文,以英文为主,跳舞，完全不相关,23900000
https://www.tiktok.com/@littleturtlelisa/video/7409140339413470495,黎族传统纺染织绣技艺,A,相关,,英文,以英文为主,,5400000
https://www.tiktok.com/@littleturtlelisa/video/7073738129185738030,黎族传统纺染织绣技艺,A,相关,,英文,混合,,4100000
https://www.tiktok.com/@littleturtlelisa/video/7317593985588055342,黎族传统纺染织绣技艺,A,相关,,中文,混合,,2200000
https://www.tiktok.com/@traditional.indus/video/7634924579571371286,黎族传统纺染织绣技艺,A,不相关,主题无关,混合,混合,内容纯音乐，描述为中英混合,4500000
https://www.tiktok.com/@huatieutieu/video/7631450622050454792,黎族传统纺染织绣技艺,A,不相关,他国同类,越南语,混合,内容是越南桑蚕刺绣,53800000
